year,gdp per capita
1990,2756.53002929688
1991,2909.6162109375
1992,3052.7431640625
1993,3140.02514648438
1994,3095.87158203125
1995,3195.8994140625
1996,3303.66796875
1997,3811.52172851563
1998,3887.14038085938
1999,3911.6005859375
2000,4040.61206054688
2001,4183.4326171875
2002,4316.29150390625
2003,4467.1220703125
2004,4571.087890625
2005,4692.173828125
2006,4847.587890625
2007,4964.306640625
2008,4993.87109375
2009,4707.34619140625
2010,4745.29736328125
2011,5047.333984375
2012,4711.0595703125
2013,4692.27783203125
2014,4776.6201171875
2015,4718.9189453125
2016,4733.017578125
2017,4613.9501953125
2018,4349.2099609375
2019,4133.13037109375
2020,3874.80029296875
2021,3701.06909179688
2022,3570.607421875
